JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2465345.333; A.D. 2037-Oct-13 20:00:00.0000;1.164034448;0.852891544;-0.01063809;-0.007737612;0.012482821;0.000451198
2465345.417; A.D. 2037-Oct-13 22:00:00.0000;1.163389249;0.853931487;-0.010600487;-0.007747161;0.012475819;0.000451285
2465345.5; A.D. 2037-Oct-14 00:00:00.0000;1.162743255;0.854970847;-0.010562876;-0.007756702;0.012468809;0.000451372
2465345.583; A.D. 2037-Oct-14 02:00:00.0000;1.162096466;0.856009622;-0.010525258;-0.007766236;0.012461793;0.000451458
2465345.667; A.D. 2037-Oct-14 04:00:00.0000;1.161448883;0.857047812;-0.010487633;-0.007775762;0.012454769;0.000451544
2465345.75; A.D. 2037-Oct-14 06:00:00.0000;1.160800506;0.858085417;-0.010450001;-0.007785282;0.012447739;0.00045163
2465345.833; A.D. 2037-Oct-14 08:00:00.0000;1.160151336;0.859122435;-0.010412361;-0.007794795;0.012440701;0.000451716
2465345.917; A.D. 2037-Oct-14 10:00:00.0000;1.159501374;0.860158867;-0.010374715;-0.0078043;0.012433656;0.000451801
2465346; A.D. 2037-Oct-14 12:00:00.0000;1.15885062;0.861194711;-0.010337061;-0.007813798;0.012426604;0.000451886
2465346.083; A.D. 2037-Oct-14 14:00:00.0000;1.158199074;0.862229967;-0.010299401;-0.007823289;0.012419545;0.00045197
2465346.167; A.D. 2037-Oct-14 16:00:00.0000;1.157546738;0.863264635;-0.010261733;-0.007832772;0.012412479;0.000452055
2465346.25; A.D. 2037-Oct-14 18:00:00.0000;1.156893612;0.864298714;-0.010224058;-0.007842249;0.012405405;0.000452138
2465346.333; A.D. 2037-Oct-14 20:00:00.0000;1.156239697;0.865332202;-0.010186376;-0.007851718;0.012398325;0.000452222
2465346.417; A.D. 2037-Oct-14 22:00:00.0000;1.155584993;0.866365101;-0.010148688;-0.00786118;0.012391238;0.000452305
2465346.5; A.D. 2037-Oct-15 00:00:00.0000;1.154929501;0.867397408;-0.010110992;-0.007870635;0.012384143;0.000452388
2465346.583; A.D. 2037-Oct-15 02:00:00.0000;1.154273221;0.868429125;-0.01007329;-0.007880082;0.012377042;0.000452471
2465346.667; A.D. 2037-Oct-15 04:00:00.0000;1.153616154;0.869460249;-0.01003558;-0.007889522;0.012369933;0.000452553
2465346.75; A.D. 2037-Oct-15 06:00:00.0000;1.1529583;0.87049078;-0.009997864;-0.007898956;0.012362817;0.000452635
2465346.833; A.D. 2037-Oct-15 08:00:00.0000;1.152299661;0.871520718;-0.009960141;-0.007908381;0.012355695;0.000452716
2465346.917; A.D. 2037-Oct-15 10:00:00.0000;1.151640237;0.872550062;-0.009922412;-0.0079178;0.012348565;0.000452798
2465347; A.D. 2037-Oct-15 12:00:00.0000;1.150980028;0.873578812;-0.009884675;-0.007927211;0.012341429;0.000452879
2465347.083; A.D. 2037-Oct-15 14:00:00.0000;1.150319035;0.874606967;-0.009846932;-0.007936615;0.012334285;0.000452959
