     JDTDB;            Calendar Date (TDB);X;Y;Z
2464649.75; A.D. 2035-Nov-18 06:00:00.0000;0.563996903;0.811964418;-6.94641E-05
2464649.833; A.D. 2035-Nov-18 08:00:00.0000;0.562796079;0.812776048;-6.95524E-05
2464649.917; A.D. 2035-Nov-18 10:00:00.0000;0.561594058;0.813585963;-6.96415E-05
2464650; A.D. 2035-Nov-18 12:00:00.0000;0.560390841;0.814394161;-6.97314E-05
2464650.083; A.D. 2035-Nov-18 14:00:00.0000;0.559186431;0.815200639;-6.9822E-05
2464650.167; A.D. 2035-Nov-18 16:00:00.0000;0.55798083;0.816005396;-6.99135E-05
2464650.25; A.D. 2035-Nov-18 18:00:00.0000;0.55677404;0.816808429;-7.00057E-05
2464650.333; A.D. 2035-Nov-18 20:00:00.0000;0.555566063;0.817609738;-7.00986E-05
2464650.417; A.D. 2035-Nov-18 22:00:00.0000;0.554356902;0.81840932;-7.01922E-05
2464650.5; A.D. 2035-Nov-19 00:00:00.0000;0.553146559;0.819207173;-7.02865E-05
2464650.583; A.D. 2035-Nov-19 02:00:00.0000;0.551935036;0.820003296;-7.03815E-05
2464650.667; A.D. 2035-Nov-19 04:00:00.0000;0.550722335;0.820797686;-7.04772E-05
2464650.75; A.D. 2035-Nov-19 06:00:00.0000;0.54950846;0.821590343;-7.05735E-05
2464650.833; A.D. 2035-Nov-19 08:00:00.0000;0.548293411;0.822381263;-7.06705E-05
2464650.917; A.D. 2035-Nov-19 10:00:00.0000;0.547077191;0.823170445;-7.0768E-05
2464651; A.D. 2035-Nov-19 12:00:00.0000;0.545859802;0.823957887;-7.08662E-05
2464651.083; A.D. 2035-Nov-19 14:00:00.0000;0.544641248;0.824743587;-7.09649E-05
2464651.167; A.D. 2035-Nov-19 16:00:00.0000;0.543421529;0.825527544;-7.10642E-05
2464651.25; A.D. 2035-Nov-19 18:00:00.0000;0.542200649;0.826309755;-7.1164E-05
2464651.333; A.D. 2035-Nov-19 20:00:00.0000;0.540978609;0.827090219;-7.12643E-05
2464651.417; A.D. 2035-Nov-19 22:00:00.0000;0.539755413;0.827868934;-7.13651E-05
2464651.5; A.D. 2035-Nov-20 00:00:00.0000;0.538531061;0.828645898;-7.14664E-05
2464651.583; A.D. 2035-Nov-20 02:00:00.0000;0.537305557;0.829421108;-7.15681E-05
2464651.667; A.D. 2035-Nov-20 04:00:00.0000;0.536078903;0.830194564;-7.16703E-05
2464651.75; A.D. 2035-Nov-20 06:00:00.0000;0.534851101;0.830966263;-7.17728E-05
2464651.833; A.D. 2035-Nov-20 08:00:00.0000;0.533622154;0.831736204;-7.18758E-05
2464651.917; A.D. 2035-Nov-20 10:00:00.0000;0.532392064;0.832504384;-7.19791E-05
2464652; A.D. 2035-Nov-20 12:00:00.0000;0.531160833;0.833270801;-7.20828E-05
2464652.083; A.D. 2035-Nov-20 14:00:00.0000;0.529928463;0.834035454;-7.21868E-05
2464652.167; A.D. 2035-Nov-20 16:00:00.0000;0.528694958;0.834798341;-7.22911E-05
2464652.25; A.D. 2035-Nov-20 18:00:00.0000;0.527460319;0.83555946;-7.23956E-05
2464652.333; A.D. 2035-Nov-20 20:00:00.0000;0.526224548;0.836318809;-7.25005E-05
2464652.417; A.D. 2035-Nov-20 22:00:00.0000;0.524987649;0.837076386;-7.26055E-05
2464652.5; A.D. 2035-Nov-21 00:00:00.0000;0.523749624;0.837832189;-7.27108E-05
2464652.583; A.D. 2035-Nov-21 02:00:00.0000;0.522510474;0.838586217;-7.28163E-05
2464652.667; A.D. 2035-Nov-21 04:00:00.0000;0.521270202;0.839338468;-7.2922E-05
2464652.75; A.D. 2035-Nov-21 06:00:00.0000;0.520028812;0.840088938;-7.30277E-05
2464652.833; A.D. 2035-Nov-21 08:00:00.0000;0.518786304;0.840837628;-7.31337E-05
2464652.917; A.D. 2035-Nov-21 10:00:00.0000;0.517542682;0.841584535;-7.32397E-05
2464653; A.D. 2035-Nov-21 12:00:00.0000;0.516297949;0.842329656;-7.33458E-05
2464653.083; A.D. 2035-Nov-21 14:00:00.0000;0.515052105;0.843072991;-7.3452E-05
2464653.167; A.D. 2035-Nov-21 16:00:00.0000;0.513805155;0.843814537;-7.35581E-05
2464653.25; A.D. 2035-Nov-21 18:00:00.0000;0.5125571;0.844554292;-7.36644E-05
2464653.333; A.D. 2035-Nov-21 20:00:00.0000;0.511307943;0.845292254;-7.37706E-05
2464653.417; A.D. 2035-Nov-21 22:00:00.0000;0.510057687;0.846028423;-7.38767E-05
2464653.5; A.D. 2035-Nov-22 00:00:00.0000;0.508806333;0.846762795;-7.39829E-05
2464653.583; A.D. 2035-Nov-22 02:00:00.0000;0.507553885;0.847495369;-7.40889E-05
2464653.667; A.D. 2035-Nov-22 04:00:00.0000;0.506300344;0.848226143;-7.41949E-05
2464653.75; A.D. 2035-Nov-22 06:00:00.0000;0.505045714;0.848955115;-7.43007E-05
2464653.833; A.D. 2035-Nov-22 08:00:00.0000;0.503789997;0.849682283;-7.44064E-05
2464653.917; A.D. 2035-Nov-22 10:00:00.0000;0.502533196;0.850407646;-7.45119E-05
2464654; A.D. 2035-Nov-22 12:00:00.0000;0.501275312;0.851131201;-7.46173E-05
2464654.083; A.D. 2035-Nov-22 14:00:00.0000;0.500016348;0.851852947;-7.47224E-05
2464654.167; A.D. 2035-Nov-22 16:00:00.0000;0.498756308;0.852572882;-7.48274E-05
2464654.25; A.D. 2035-Nov-22 18:00:00.0000;0.497495194;0.853291004;-7.4932E-05
2464654.333; A.D. 2035-Nov-22 20:00:00.0000;0.496233007;0.854007311;-7.50364E-05
2464654.417; A.D. 2035-Nov-22 22:00:00.0000;0.494969751;0.854721801;-7.51406E-05
2464654.5; A.D. 2035-Nov-23 00:00:00.0000;0.493705429;0.855434473;-7.52444E-05
2464654.583; A.D. 2035-Nov-23 02:00:00.0000;0.492440042;0.856145324;-7.53479E-05
2464654.667; A.D. 2035-Nov-23 04:00:00.0000;0.491173594;0.856854354;-7.5451E-05
2464654.75; A.D. 2035-Nov-23 06:00:00.0000;0.489906087;0.857561559;-7.55538E-05
2464654.833; A.D. 2035-Nov-23 08:00:00.0000;0.488637524;0.858266938;-7.56562E-05
2464654.917; A.D. 2035-Nov-23 10:00:00.0000;0.487367907;0.85897049;-7.57582E-05
2464655; A.D. 2035-Nov-23 12:00:00.0000;0.486097239;0.859672213;-7.58597E-05
2464655.083; A.D. 2035-Nov-23 14:00:00.0000;0.484825522;0.860372104;-7.59608E-05
2464655.167; A.D. 2035-Nov-23 16:00:00.0000;0.48355276;0.861070162;-7.60615E-05
2464655.25; A.D. 2035-Nov-23 18:00:00.0000;0.482278954;0.861766385;-7.61616E-05
2464655.333; A.D. 2035-Nov-23 20:00:00.0000;0.481004108;0.862460771;-7.62613E-05
2464655.417; A.D. 2035-Nov-23 22:00:00.0000;0.479728224;0.863153319;-7.63604E-05
2464655.5; A.D. 2035-Nov-24 00:00:00.0000;0.478451305;0.863844027;-7.6459E-05
2464655.583; A.D. 2035-Nov-24 02:00:00.0000;0.477173353;0.864532892;-7.6557E-05
2464655.667; A.D. 2035-Nov-24 04:00:00.0000;0.475894371;0.865219914;-7.66545E-05
2464655.75; A.D. 2035-Nov-24 06:00:00.0000;0.474614362;0.86590509;-7.67514E-05
2464655.833; A.D. 2035-Nov-24 08:00:00.0000;0.473333329;0.866588419;-7.68476E-05
2464655.917; A.D. 2035-Nov-24 10:00:00.0000;0.472051274;0.867269899;-7.69433E-05
2464656; A.D. 2035-Nov-24 12:00:00.0000;0.4707682;0.867949527;-7.70383E-05
2464656.083; A.D. 2035-Nov-24 14:00:00.0000;0.469484109;0.868627303;-7.71326E-05
2464656.167; A.D. 2035-Nov-24 16:00:00.0000;0.468199005;0.869303225;-7.72263E-05
2464656.25; A.D. 2035-Nov-24 18:00:00.0000;0.466912889;0.86997729;-7.73193E-05
2464656.333; A.D. 2035-Nov-24 20:00:00.0000;0.465625766;0.870649498;-7.74115E-05
2464656.417; A.D. 2035-Nov-24 22:00:00.0000;0.464337637;0.871319846;-7.75031E-05
2464656.5; A.D. 2035-Nov-25 00:00:00.0000;0.463048505;0.871988332;-7.75939E-05
2464656.583; A.D. 2035-Nov-25 02:00:00.0000;0.461758374;0.872654955;-7.7684E-05
2464656.667; A.D. 2035-Nov-25 04:00:00.0000;0.460467245;0.873319714;-7.77733E-05
2464656.75; A.D. 2035-Nov-25 06:00:00.0000;0.459175121;0.873982606;-7.78618E-05
2464656.833; A.D. 2035-Nov-25 08:00:00.0000;0.457882006;0.87464363;-7.79495E-05
2464656.917; A.D. 2035-Nov-25 10:00:00.0000;0.456587902;0.875302783;-7.80364E-05
2464657; A.D. 2035-Nov-25 12:00:00.0000;0.455292812;0.875960065;-7.81225E-05
2464657.083; A.D. 2035-Nov-25 14:00:00.0000;0.453996738;0.876615474;-7.82078E-05
2464657.167; A.D. 2035-Nov-25 16:00:00.0000;0.452699684;0.877269008;-7.82922E-05
2464657.25; A.D. 2035-Nov-25 18:00:00.0000;0.451401652;0.877920665;-7.83758E-05
2464657.333; A.D. 2035-Nov-25 20:00:00.0000;0.450102645;0.878570443;-7.84585E-05
2464657.417; A.D. 2035-Nov-25 22:00:00.0000;0.448802666;0.879218342;-7.85403E-05
2464657.5; A.D. 2035-Nov-26 00:00:00.0000;0.447501717;0.879864358;-7.86212E-05
2464657.583; A.D. 2035-Nov-26 02:00:00.0000;0.446199802;0.880508492;-7.87012E-05
2464657.667; A.D. 2035-Nov-26 04:00:00.0000;0.444896924;0.88115074;-7.87803E-05
2464657.75; A.D. 2035-Nov-26 06:00:00.0000;0.443593084;0.881791102;-7.88585E-05
2464657.833; A.D. 2035-Nov-26 08:00:00.0000;0.442288286;0.882429575;-7.89357E-05
2464657.917; A.D. 2035-Nov-26 10:00:00.0000;0.440982533;0.883066158;-7.9012E-05
2464658; A.D. 2035-Nov-26 12:00:00.0000;0.439675828;0.88370085;-7.90873E-05
2464658.083; A.D. 2035-Nov-26 14:00:00.0000;0.438368173;0.884333649;-7.91617E-05
2464658.167; A.D. 2035-Nov-26 16:00:00.0000;0.437059572;0.884964552;-7.92351E-05
2464658.25; A.D. 2035-Nov-26 18:00:00.0000;0.435750026;0.88559356;-7.93075E-05
2464658.333; A.D. 2035-Nov-26 20:00:00.0000;0.43443954;0.886220669;-7.9379E-05
2464658.417; A.D. 2035-Nov-26 22:00:00.0000;0.433128116;0.886845879;-7.94494E-05
2464658.5; A.D. 2035-Nov-27 00:00:00.0000;0.431815757;0.887469187;-7.95188E-05
2464658.583; A.D. 2035-Nov-27 02:00:00.0000;0.430502465;0.888090593;-7.95872E-05
2464658.667; A.D. 2035-Nov-27 04:00:00.0000;0.429188244;0.888710094;-7.96546E-05
2464658.75; A.D. 2035-Nov-27 06:00:00.0000;0.427873096;0.889327689;-7.9721E-05
2464658.833; A.D. 2035-Nov-27 08:00:00.0000;0.426557025;0.889943377;-7.97863E-05
2464658.917; A.D. 2035-Nov-27 10:00:00.0000;0.425240033;0.890557156;-7.98506E-05
2464659; A.D. 2035-Nov-27 12:00:00.0000;0.423922123;0.891169025;-7.99138E-05
2464659.083; A.D. 2035-Nov-27 14:00:00.0000;0.422603299;0.891778981;-7.9976E-05
2464659.167; A.D. 2035-Nov-27 16:00:00.0000;0.421283562;0.892387023;-8.00371E-05
2464659.25; A.D. 2035-Nov-27 18:00:00.0000;0.419962916;0.89299315;-8.00972E-05
2464659.333; A.D. 2035-Nov-27 20:00:00.0000;0.418641364;0.893597361;-8.01562E-05
2464659.417; A.D. 2035-Nov-27 22:00:00.0000;0.417318909;0.894199653;-8.02141E-05
2464659.5; A.D. 2035-Nov-28 00:00:00.0000;0.415995554;0.894800026;-8.0271E-05
2464659.583; A.D. 2035-Nov-28 02:00:00.0000;0.414671301;0.895398477;-8.03267E-05
2464659.667; A.D. 2035-Nov-28 04:00:00.0000;0.413346154;0.895995006;-8.03814E-05
2464659.75; A.D. 2035-Nov-28 06:00:00.0000;0.412020115;0.89658961;-8.0435E-05
2464659.833; A.D. 2035-Nov-28 08:00:00.0000;0.410693188;0.897182289;-8.04875E-05
2464659.917; A.D. 2035-Nov-28 10:00:00.0000;0.409365376;0.897773041;-8.0539E-05
2464660; A.D. 2035-Nov-28 12:00:00.0000;0.40803668;0.898361864;-8.05893E-05
2464660.083; A.D. 2035-Nov-28 14:00:00.0000;0.406707106;0.898948757;-8.06385E-05
2464660.167; A.D. 2035-Nov-28 16:00:00.0000;0.405376654;0.899533718;-8.06867E-05
