JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2465108.583; A.D. 2037-Feb-19 02:00:00.0000;0.221462053;-0.371992111;-0.050711366;0.018553555;0.015777121;-0.000411605
2465108.667; A.D. 2037-Feb-19 04:00:00.0000;0.223005427;-0.370672737;-0.050745037;0.018487306;0.015887816;-0.000396483
2465108.75; A.D. 2037-Feb-19 06:00:00.0000;0.224543254;-0.369344145;-0.050777446;0.018420445;0.01599837;-0.000381316
2465108.833; A.D. 2037-Feb-19 08:00:00.0000;0.226075484;-0.368006346;-0.050808589;0.018352969;0.016108782;-0.000366105
2465108.917; A.D. 2037-Feb-19 10:00:00.0000;0.227602065;-0.366659352;-0.050838462;0.018284877;0.016219047;-0.000350848
2465109; A.D. 2037-Feb-19 12:00:00.0000;0.229122946;-0.365303176;-0.050867062;0.018216167;0.016329164;-0.000335548
2465109.083; A.D. 2037-Feb-19 14:00:00.0000;0.230638076;-0.363937829;-0.050894385;0.018146837;0.016439131;-0.000320202
2465109.167; A.D. 2037-Feb-19 16:00:00.0000;0.232147402;-0.362563325;-0.050920428;0.018076886;0.016548943;-0.000304813
2465109.25; A.D. 2037-Feb-19 18:00:00.0000;0.233650873;-0.361179676;-0.050945186;0.018006312;0.016658599;-0.000289379
2465109.333; A.D. 2037-Feb-19 20:00:00.0000;0.235148437;-0.359786896;-0.050968656;0.017935113;0.016768096;-0.0002739
2465109.417; A.D. 2037-Feb-19 22:00:00.0000;0.236640041;-0.358384998;-0.050990835;0.017863288;0.016877431;-0.000258378
2465109.5; A.D. 2037-Feb-20 00:00:00.0000;0.238125634;-0.356973996;-0.051011718;0.017790834;0.016986601;-0.000242811
2465109.583; A.D. 2037-Feb-20 02:00:00.0000;0.239605163;-0.355553903;-0.051031302;0.017717751;0.017095604;-0.0002272
2465109.667; A.D. 2037-Feb-20 04:00:00.0000;0.241078575;-0.354124733;-0.051049584;0.017644036;0.017204437;-0.000211546
2465109.75; A.D. 2037-Feb-20 06:00:00.0000;0.242545818;-0.352686501;-0.051066559;0.017569688;0.017313096;-0.000195847
2465109.833; A.D. 2037-Feb-20 08:00:00.0000;0.244006838;-0.351239222;-0.051082224;0.017494704;0.017421579;-0.000180105
2465109.917; A.D. 2037-Feb-20 10:00:00.0000;0.245461584;-0.34978291;-0.051096575;0.017419084;0.017529883;-0.000164319
2465110; A.D. 2037-Feb-20 12:00:00.0000;0.246910001;-0.34831758;-0.051109609;0.017342826;0.017638005;-0.000148489
2465110.083; A.D. 2037-Feb-20 14:00:00.0000;0.248352037;-0.346843248;-0.051121322;0.017265927;0.017745941;-0.000132615
2465110.167; A.D. 2037-Feb-20 16:00:00.0000;0.249787638;-0.345359928;-0.05113171;0.017188386;0.01785369;-0.000116699
2465110.25; A.D. 2037-Feb-20 18:00:00.0000;0.25121675;-0.343867638;-0.05114077;0.017110202;0.017961247;-0.000100738
2465110.333; A.D. 2037-Feb-20 20:00:00.0000;0.25263932;-0.342366392;-0.051148499;0.017031372;0.018068611;-8.47348E-05
2465110.417; A.D. 2037-Feb-20 22:00:00.0000;0.254055294;-0.340856208;-0.051154892;0.016951895;0.018175776;-6.8688E-05
2465110.5; A.D. 2037-Feb-21 00:00:00.0000;0.255464618;-0.339337102;-0.051159945;0.01687177;0.018282742;-5.25982E-05
2465110.583; A.D. 2037-Feb-21 02:00:00.0000;0.256867238;-0.33780909;-0.051163657;0.016790994;0.018389503;-3.64653E-05
2465110.667; A.D. 2037-Feb-21 04:00:00.0000;0.258263099;-0.33627219;-0.051166022;0.016709565;0.018496058;-2.02896E-05
2465110.75; A.D. 2037-Feb-21 06:00:00.0000;0.259652147;-0.33472642;-0.051167037;0.016627482;0.018602402;-4.07103E-06
2465110.833; A.D. 2037-Feb-21 08:00:00.0000;0.261034328;-0.333171796;-0.051166699;0.016544744;0.018708533;1.21902E-05
2465110.917; A.D. 2037-Feb-21 10:00:00.0000;0.262409586;-0.331608337;-0.051165004;0.016461348;0.018814447;2.8494E-05
