JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2464882; A.D. 2036-Jul-07 12:00:00.0000;0.463410117;-0.560689313;-0.034455657;0.015457245;0.012812589;-0.000715377
2464882.083; A.D. 2036-Jul-07 14:00:00.0000;0.464696987;-0.559620107;-0.03451518;0.015427613;0.012848357;-0.000713175
2464882.167; A.D. 2036-Jul-07 16:00:00.0000;0.465981384;-0.558547922;-0.034574519;0.015397899;0.012884056;-0.000710969
2464882.25; A.D. 2036-Jul-07 18:00:00.0000;0.467263301;-0.557472766;-0.034633674;0.015368103;0.012919687;-0.000708759
2464882.333; A.D. 2036-Jul-07 20:00:00.0000;0.468542732;-0.556394643;-0.034692645;0.015338225;0.012955249;-0.000706546
2464882.417; A.D. 2036-Jul-07 22:00:00.0000;0.46981967;-0.55531356;-0.034751432;0.015308266;0.012990742;-0.000704329
2464882.5; A.D. 2036-Jul-08 00:00:00.0000;0.471094107;-0.554229521;-0.034810033;0.015278225;0.013026166;-0.000702108
2464882.583; A.D. 2036-Jul-08 02:00:00.0000;0.472366038;-0.553142534;-0.03486845;0.015248103;0.013061521;-0.000699883
2464882.667; A.D. 2036-Jul-08 04:00:00.0000;0.473635456;-0.552052603;-0.034926681;0.0152179;0.013096806;-0.000697655
2464882.75; A.D. 2036-Jul-08 06:00:00.0000;0.474902353;-0.550959735;-0.034984725;0.015187616;0.013132021;-0.000695423
2464882.833; A.D. 2036-Jul-08 08:00:00.0000;0.476166723;-0.549863935;-0.035042584;0.015157251;0.013167166;-0.000693187
2464882.917; A.D. 2036-Jul-08 10:00:00.0000;0.477428559;-0.548765209;-0.035100257;0.015126806;0.013202242;-0.000690948
2464883; A.D. 2036-Jul-08 12:00:00.0000;0.478687855;-0.547663563;-0.035157742;0.01509628;0.013237247;-0.000688704
2464883.083; A.D. 2036-Jul-08 14:00:00.0000;0.479944603;-0.546559003;-0.035215041;0.015065674;0.013272181;-0.000686458
2464883.167; A.D. 2036-Jul-08 16:00:00.0000;0.481198798;-0.545451535;-0.035272152;0.015034987;0.013307045;-0.000684207
2464883.25; A.D. 2036-Jul-08 18:00:00.0000;0.482450432;-0.544341164;-0.035329075;0.015004221;0.013341838;-0.000681953
2464883.333; A.D. 2036-Jul-08 20:00:00.0000;0.483699499;-0.543227897;-0.03538581;0.014973375;0.01337656;-0.000679695
2464883.417; A.D. 2036-Jul-08 22:00:00.0000;0.484945992;-0.54211174;-0.035442357;0.014942449;0.013411211;-0.000677434
2464883.5; A.D. 2036-Jul-09 00:00:00.0000;0.486189905;-0.540992697;-0.035498716;0.014911443;0.013445791;-0.000675169
2464883.583; A.D. 2036-Jul-09 02:00:00.0000;0.487431231;-0.539870777;-0.035554885;0.014880359;0.013480299;-0.000672901
2464883.667; A.D. 2036-Jul-09 04:00:00.0000;0.488669963;-0.538745983;-0.035610866;0.014849195;0.013514735;-0.000670628
2464883.75; A.D. 2036-Jul-09 06:00:00.0000;0.489906094;-0.537618323;-0.035666657;0.014817952;0.013549099;-0.000668353
2464883.833; A.D. 2036-Jul-09 08:00:00.0000;0.491139619;-0.536487802;-0.035722258;0.01478663;0.013583392;-0.000666074
2464883.917; A.D. 2036-Jul-09 10:00:00.0000;0.49237053;-0.535354426;-0.035777669;0.014755229;0.013617612;-0.000663791
2464884; A.D. 2036-Jul-09 12:00:00.0000;0.493598822;-0.534218202;-0.03583289;0.01472375;0.013651759;-0.000661504
2464884.083; A.D. 2036-Jul-09 14:00:00.0000;0.494824487;-0.533079135;-0.03588792;0.014692193;0.013685834;-0.000659215
2464884.167; A.D. 2036-Jul-09 16:00:00.0000;0.496047519;-0.531937231;-0.035942759;0.014660557;0.013719837;-0.000656921
2464884.25; A.D. 2036-Jul-09 18:00:00.0000;0.497267911;-0.530792497;-0.035997406;0.014628844;0.013753766;-0.000654624
2464884.333; A.D. 2036-Jul-09 20:00:00.0000;0.498485657;-0.529644939;-0.036051863;0.014597052;0.013787622;-0.000652324
2464884.417; A.D. 2036-Jul-09 22:00:00.0000;0.499700751;-0.528494563;-0.036106127;0.014565183;0.013821405;-0.00065002
2464884.5; A.D. 2036-Jul-10 00:00:00.0000;0.500913185;-0.527341374;-0.036160199;0.014533236;0.013855114;-0.000647713
2464884.583; A.D. 2036-Jul-10 02:00:00.0000;0.502122955;-0.526185379;-0.036214079;0.014501212;0.01388875;-0.000645402
2464884.667; A.D. 2036-Jul-10 04:00:00.0000;0.503330052;-0.525026584;-0.036267766;0.014469111;0.013922311;-0.000643088
2464884.75; A.D. 2036-Jul-10 06:00:00.0000;0.504534471;-0.523864996;-0.03632126;0.014436932;0.013955799;-0.00064077
2464884.833; A.D. 2036-Jul-10 08:00:00.0000;0.505736205;-0.52270062;-0.036374561;0.014404677;0.013989213;-0.000638449
2464884.917; A.D. 2036-Jul-10 10:00:00.0000;0.506935248;-0.521533462;-0.036427668;0.014372345;0.014022552;-0.000636125
